Gene ID	Symbol	Name	Type	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
ENSG00000184634	MED12	mediator complex subunit 12	protein_coding	31 / 969 (3.20%)	556 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0	Cancer Gene Census	add to survival plot
ENSG00000118058	KMT2A	lysine methyltransferase 2A	protein_coding	31 / 969 (3.20%)	685 / 16,405	87 / 1,067 (8.15%)	446 / 1,067 (41.80%)	27	Cancer Gene Census	add to survival plot
ENSG00000143669	LYST	lysosomal trafficking regulator	protein_coding	31 / 969 (3.20%)	658 / 16,405	751 / 1,067 (70.38%)	25 / 1,067 (2.34%)	0		add to survival plot
ENSG00000115464	USP34	ubiquitin specific peptidase 34	protein_coding	31 / 969 (3.20%)	609 / 16,405	195 / 1,067 (18.28%)	109 / 1,067 (10.22%)	0		add to survival plot
ENSG00000138688	KIAA1109	KIAA1109	protein_coding	31 / 969 (3.20%)	842 / 16,405	118 / 1,067 (11.06%)	214 / 1,067 (20.06%)	0		add to survival plot
ENSG00000039139	DNAH5	dynein axonemal heavy chain 5	protein_coding	31 / 969 (3.20%)	1,509 / 16,405	334 / 1,067 (31.30%)	64 / 1,067 (6.00%)	0		add to survival plot
ENSG00000145362	ANK2	ankyrin 2	protein_coding	31 / 969 (3.20%)	1,026 / 16,405	101 / 1,067 (9.47%)	242 / 1,067 (22.68%)	37		add to survival plot
ENSG00000197102	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	protein_coding	30 / 969 (3.10%)	729 / 16,405	153 / 1,067 (14.34%)	212 / 1,067 (19.87%)	26		add to survival plot
ENSG00000153707	PTPRD	protein tyrosine phosphatase receptor type D	protein_coding	30 / 969 (3.10%)	766 / 16,405	174 / 1,067 (16.31%)	247 / 1,067 (23.15%)	31	Cancer Gene Census	add to survival plot
ENSG00000170927	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin	protein_coding	30 / 969 (3.10%)	1,041 / 16,405	239 / 1,067 (22.40%)	117 / 1,067 (10.97%)	0		add to survival plot
ENSG00000166963	MAP1A	microtubule associated protein 1A	protein_coding	30 / 969 (3.10%)	522 / 16,405	54 / 1,067 (5.06%)	282 / 1,067 (26.43%)	0		add to survival plot
ENSG00000124177	CHD6	chromodomain helicase DNA binding protein 6	protein_coding	30 / 969 (3.10%)	579 / 16,405	392 / 1,067 (36.74%)	51 / 1,067 (4.78%)	0		add to survival plot
ENSG00000197653	DNAH10	dynein axonemal heavy chain 10	protein_coding	30 / 969 (3.10%)	904 / 16,405	167 / 1,067 (15.65%)	157 / 1,067 (14.71%)	0		add to survival plot
ENSG00000127914	AKAP9	A-kinase anchoring protein 9	protein_coding	30 / 969 (3.10%)	657 / 16,405	257 / 1,067 (24.09%)	102 / 1,067 (9.56%)	0	Cancer Gene Census	add to survival plot
ENSG00000158486	DNAH3	dynein axonemal heavy chain 3	protein_coding	29 / 969 (2.99%)	994 / 16,405	485 / 1,067 (45.45%)	47 / 1,067 (4.40%)	0		add to survival plot
ENSG00000153207	AHCTF1	AT-hook containing transcription factor 1	protein_coding	29 / 969 (2.99%)	395 / 16,405	745 / 1,067 (69.82%)	24 / 1,067 (2.25%)	0		add to survival plot
ENSG00000197410	DCHS2	dachsous cadherin-related 2	protein_coding	29 / 969 (2.99%)	857 / 16,405	103 / 1,067 (9.65%)	250 / 1,067 (23.43%)	0		add to survival plot
ENSG00000127481	UBR4	ubiquitin protein ligase E3 component n-recognin 4	protein_coding	29 / 969 (2.99%)	756 / 16,405	71 / 1,067 (6.65%)	352 / 1,067 (32.99%)	0		add to survival plot
ENSG00000129514	FOXA1	forkhead box A1	protein_coding	29 / 969 (2.99%)	207 / 16,405	203 / 1,067 (19.03%)	148 / 1,067 (13.87%)	0	Cancer Gene Census	add to survival plot
ENSG00000183914	DNAH2	dynein axonemal heavy chain 2	protein_coding	29 / 969 (2.99%)	815 / 16,405	50 / 1,067 (4.69%)	543 / 1,067 (50.89%)	0		add to survival plot
ENSG00000147251	DOCK11	dedicator of cytokinesis 11	protein_coding	29 / 969 (2.99%)	439 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000185010	F8	coagulation factor VIII	protein_coding	29 / 969 (2.99%)	589 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000133863	TEX15	testis expressed 15, meiosis and synapsis associated	protein_coding	29 / 969 (2.99%)	613 / 16,405	161 / 1,067 (15.09%)	446 / 1,067 (41.80%)	0		add to survival plot
ENSG00000080603	SRCAP	Snf2 related CREBBP activator protein	protein_coding	28 / 969 (2.89%)	668 / 16,405	503 / 1,067 (47.14%)	36 / 1,067 (3.37%)	0		add to survival plot
ENSG00000129003	VPS13C	vacuolar protein sorting 13 homolog C	protein_coding	28 / 969 (2.89%)	576 / 16,405	92 / 1,067 (8.62%)	244 / 1,067 (22.87%)	0		add to survival plot
ENSG00000116580	GON4L	gon-4 like	protein_coding	28 / 969 (2.89%)	419 / 16,405	738 / 1,067 (69.17%)	12 / 1,067 (1.12%)	30		add to survival plot
ENSG00000116183	PAPPA2	pappalysin 2	protein_coding	28 / 969 (2.89%)	937 / 16,405	750 / 1,067 (70.29%)	17 / 1,067 (1.59%)	0		add to survival plot
ENSG00000111799	COL12A1	collagen type XII alpha 1 chain	protein_coding	28 / 969 (2.89%)	758 / 16,405	169 / 1,067 (15.84%)	265 / 1,067 (24.84%)	26		add to survival plot
ENSG00000124486	USP9X	ubiquitin specific peptidase 9 X-linked	protein_coding	28 / 969 (2.89%)	504 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000142208	AKT1	AKT serine/threonine kinase 1	protein_coding	28 / 969 (2.89%)	176 / 16,405	194 / 1,067 (18.18%)	203 / 1,067 (19.03%)	0	Cancer Gene Census	add to survival plot
ENSG00000152818	UTRN	utrophin	protein_coding	28 / 969 (2.89%)	611 / 16,405	163 / 1,067 (15.28%)	262 / 1,067 (24.55%)	0		add to survival plot
ENSG00000156920	ADGRG4	adhesion G protein-coupled receptor G4	protein_coding	28 / 969 (2.89%)	830 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000118997	DNAH7	dynein axonemal heavy chain 7	protein_coding	28 / 969 (2.89%)	1,049 / 16,405	131 / 1,067 (12.28%)	153 / 1,067 (14.34%)	0		add to survival plot
ENSG00000042832	TG	thyroglobulin	protein_coding	28 / 969 (2.89%)	792 / 16,405	582 / 1,067 (54.55%)	47 / 1,067 (4.40%)	0		add to survival plot
ENSG00000141431	ASXL3	ASXL transcriptional regulator 3	protein_coding	28 / 969 (2.89%)	744 / 16,405	169 / 1,067 (15.84%)	233 / 1,067 (21.84%)	0		add to survival plot
ENSG00000101680	LAMA1	laminin subunit alpha 1	protein_coding	27 / 969 (2.79%)	865 / 16,405	160 / 1,067 (15.00%)	261 / 1,067 (24.46%)	0		add to survival plot
ENSG00000134250	NOTCH2	notch receptor 2	protein_coding	27 / 969 (2.79%)	430 / 16,405	238 / 1,067 (22.31%)	148 / 1,067 (13.87%)	0	Cancer Gene Census	add to survival plot
ENSG00000102001	CACNA1F	calcium voltage-gated channel subunit alpha1 F	protein_coding	27 / 969 (2.79%)	463 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000151150	ANK3	ankyrin 3	protein_coding	27 / 969 (2.79%)	923 / 16,405	158 / 1,067 (14.81%)	159 / 1,067 (14.90%)	37		add to survival plot
ENSG00000163359	COL6A3	collagen type VI alpha 3 chain	protein_coding	27 / 969 (2.79%)	940 / 16,405	92 / 1,067 (8.62%)	226 / 1,067 (21.18%)	22		add to survival plot
ENSG00000137766	UNC13C	unc-13 homolog C	protein_coding	27 / 969 (2.79%)	794 / 16,405	74 / 1,067 (6.94%)	251 / 1,067 (23.52%)	0		add to survival plot
ENSG00000151835	SACS	sacsin molecular chaperone	protein_coding	27 / 969 (2.79%)	846 / 16,405	105 / 1,067 (9.84%)	314 / 1,067 (29.43%)	0		add to survival plot
ENSG00000116539	ASH1L	ASH1 like histone lysine methyltransferase	protein_coding	27 / 969 (2.79%)	605 / 16,405	743 / 1,067 (69.63%)	10 / 1,067 (0.94%)	28		add to survival plot
ENSG00000103657	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	protein_coding	27 / 969 (2.79%)	606 / 16,405	103 / 1,067 (9.65%)	241 / 1,067 (22.59%)	0		add to survival plot
ENSG00000141837	CACNA1A	calcium voltage-gated channel subunit alpha1 A	protein_coding	27 / 969 (2.79%)	653 / 16,405	221 / 1,067 (20.71%)	126 / 1,067 (11.81%)	28		add to survival plot
ENSG00000147133	TAF1	TATA-box binding protein associated factor 1	protein_coding	27 / 969 (2.79%)	462 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000090889	KIF4A	kinesin family member 4A	protein_coding	27 / 969 (2.79%)	270 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000149311	ATM	ATM serine/threonine kinase	protein_coding	27 / 969 (2.79%)	757 / 16,405	90 / 1,067 (8.43%)	440 / 1,067 (41.24%)	25	Cancer Gene Census	add to survival plot
ENSG00000173821	RNF213	ring finger protein 213	protein_coding	27 / 969 (2.79%)	756 / 16,405	395 / 1,067 (37.02%)	116 / 1,067 (10.87%)	0	Cancer Gene Census	add to survival plot
ENSG00000164309	CMYA5	cardiomyopathy associated 5	protein_coding	27 / 969 (2.79%)	728 / 16,405	142 / 1,067 (13.31%)	237 / 1,067 (22.21%)	0		add to survival plot
ENSG00000046889	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	protein_coding	27 / 969 (2.79%)	698 / 16,405	520 / 1,067 (48.73%)	51 / 1,067 (4.78%)	0	Cancer Gene Census	add to survival plot
ENSG00000153820	SPHKAP	SPHK1 interactor, AKAP domain containing	protein_coding	26 / 969 (2.68%)	781 / 16,405	94 / 1,067 (8.81%)	201 / 1,067 (18.84%)	0		add to survival plot
ENSG00000115850	LCT	lactase	protein_coding	26 / 969 (2.68%)	621 / 16,405	101 / 1,067 (9.47%)	171 / 1,067 (16.03%)	0		add to survival plot
ENSG00000139687	RB1	RB transcriptional corepressor 1	protein_coding	26 / 969 (2.68%)	560 / 16,405	69 / 1,067 (6.47%)	395 / 1,067 (37.02%)	0	Cancer Gene Census	add to survival plot
ENSG00000185658	BRWD1	bromodomain and WD repeat domain containing 1	protein_coding	26 / 969 (2.68%)	424 / 16,405	228 / 1,067 (21.37%)	130 / 1,067 (12.18%)	0		add to survival plot
ENSG00000198734	F5	coagulation factor V	protein_coding	26 / 969 (2.68%)	569 / 16,405	737 / 1,067 (69.07%)	25 / 1,067 (2.34%)	0		add to survival plot
ENSG00000133401	PDZD2	PDZ domain containing 2	protein_coding	26 / 969 (2.68%)	669 / 16,405	327 / 1,067 (30.65%)	71 / 1,067 (6.65%)	0		add to survival plot
ENSG00000196159	FAT4	FAT atypical cadherin 4	protein_coding	26 / 969 (2.68%)	1,440 / 16,405	112 / 1,067 (10.50%)	214 / 1,067 (20.06%)	0	Cancer Gene Census	add to survival plot
ENSG00000257335	MGAM	maltase-glucoamylase	protein_coding	26 / 969 (2.68%)	814 / 16,405	259 / 1,067 (24.27%)	120 / 1,067 (11.25%)	0		add to survival plot
ENSG00000085224	ATRX	ATRX chromatin remodeler	protein_coding	26 / 969 (2.68%)	813 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	34	Cancer Gene Census	add to survival plot
ENSG00000160299	PCNT	pericentrin	protein_coding	26 / 969 (2.68%)	568 / 16,405	269 / 1,067 (25.21%)	126 / 1,067 (11.81%)	0		add to survival plot
ENSG00000135837	CEP350	centrosomal protein 350	protein_coding	26 / 969 (2.68%)	487 / 16,405	750 / 1,067 (70.29%)	18 / 1,067 (1.69%)	0		add to survival plot
ENSG00000198597	ZNF536	zinc finger protein 536	protein_coding	26 / 969 (2.68%)	941 / 16,405	307 / 1,067 (28.77%)	74 / 1,067 (6.94%)	0		add to survival plot
ENSG00000171316	CHD7	chromodomain helicase DNA binding protein 7	protein_coding	26 / 969 (2.68%)	624 / 16,405	500 / 1,067 (46.86%)	55 / 1,067 (5.15%)	0		add to survival plot
ENSG00000067955	CBFB	core-binding factor subunit beta	protein_coding	26 / 969 (2.68%)	85 / 16,405	97 / 1,067 (9.09%)	584 / 1,067 (54.73%)	21	Cancer Gene Census	add to survival plot
ENSG00000143520	FLG2	filaggrin family member 2	protein_coding	26 / 969 (2.68%)	741 / 16,405	738 / 1,067 (69.17%)	12 / 1,067 (1.12%)	0		add to survival plot
ENSG00000221866	PLXNA4	plexin A4	protein_coding	25 / 969 (2.58%)	831 / 16,405	267 / 1,067 (25.02%)	110 / 1,067 (10.31%)	0		add to survival plot
